timestamp,source_id,source_type,source_department,destination_id,destination_type,destination_department,data_volume_mb,transfer_speed_mbps,bandwidth_usage_percent,latency_ms,packet_loss_percent,network_load_percent,active_connections,response_time_ms,queue_length,data_priority,data_classification,access_permission,threat_level,connection_status,route_status,processing_rate,api_requests,database_queries,ai_requests,iot_messages,anomaly_status
2026-08-25T08:00:00Z,Database-02,Database,Operations,AI-Engine,AI,Management,217.63,247.01,38.28,34.1,0.28,36.04,376,55.29,4,Normal,Internal,Employee,Low,Connected,Optimal,268.69,43,322,235,7,Normal
2026-08-25T08:12:00Z,API-Gateway,API,IT,Server-02,Server,Operations,164.64,493.87,38.05,52.18,0.36,31.71,334,90.54,2,Critical,Restricted,Privileged,Low,Connected,Optimal,534.32,378,28,6,5,Normal
2026-08-25T08:24:00Z,Development,Department,Development,API-Gateway,API,IT,231.91,493.57,43.05,48.93,0.3,40.04,446,90.37,0,Normal,Internal,Employee,Low,Connected,Optimal,560.66,820,43,24,1,Normal
2026-08-25T08:36:00Z,Server-02,Server,Operations,Database-02,Database,Operations,257.43,490.01,85.94,56.35,0.06,98.12,407,192.03,37,Normal,Internal,Employee,Medium,Degraded,Optimal,435.45,85,552,33,4,Server Overload
2026-08-25T08:48:00Z,Database-01,Database,Finance,AI-Engine,AI,Management,141.03,302.99,39.29,28.6,0.21,39.9,174,42.06,11,Low,Internal,Employee,Low,Connected,Optimal,248.25,66,403,231,4,Normal
2026-08-25T09:00:00Z,Management,Department,Management,AI-Engine,AI,Management,149.55,627.33,39.25,57.46,0.43,32.26,282,78.13,2,High,Restricted,Privileged,Low,Connected,Optimal,477.04,21,11,182,3,Normal
2026-08-25T09:12:00Z,Server-02,Server,Operations,Database-02,Database,Operations,360.42,170.52,65.37,27.09,0.32,68.99,636,32.9,4,Low,Confidential,Role-Based,Low,Connected,Optimal,168.25,73,930,29,12,Normal
2026-08-25T09:24:00Z,Development,Department,Development,API-Gateway,API,IT,117.47,448.86,40.6,38.91,0.54,39.44,159,48.22,4,Normal,Confidential,Role-Based,Low,Connected,Optimal,475.01,514,32,4,2,Normal
2026-08-25T09:36:00Z,QA,Department,QA,API-Gateway,API,IT,275.82,735.23,50.95,42.07,0.11,54.1,500,77.12,6,Low,Confidential,Role-Based,Low,Connected,Optimal,624.57,1266,69,33,17,Normal
2026-08-25T09:48:00Z,API-Gateway,API,IT,Server-02,Server,Operations,437.87,116.25,79.1,67.6,0.15,81.65,613,92.18,2,High,Internal,Employee,Low,Connected,Optimal,82.61,1041,57,53,33,Normal
2026-08-25T10:00:00Z,API-Gateway,API,IT,Server-02,Server,Operations,378.92,251.32,73.87,46.74,0.61,62.79,709,59.59,7,Normal,Internal,Employee,Low,Connected,Optimal,258.32,1038,76,28,11,Normal
2026-08-25T10:12:00Z,Server-02,Server,Operations,Database-02,Database,Operations,192.16,419.17,33.47,54.87,0.35,33.7,339,88.87,2,Normal,Public,Open,Low,Connected,Optimal,418.71,44,332,23,11,Normal
2026-08-25T10:24:00Z,API-Gateway,API,IT,Server-02,Server,Operations,234.07,255.36,45.79,28.42,0.09,42.55,446,46.15,6,Normal,Internal,Employee,Low,Connected,Optimal,178.8,622,36,19,12,Normal
2026-08-25T10:36:00Z,Server-01,Server,Development,Database-02,Database,Operations,196.12,255.26,42.43,53.85,0.52,36.67,229,81.36,1,Normal,Internal,Employee,Low,Connected,Optimal,272.7,78,479,7,3,Normal
2026-08-25T10:48:00Z,Development,Department,Development,API-Gateway,API,IT,222.95,270.37,52.48,19.06,0.28,51.63,277,31.21,2,High,Public,Open,Low,Connected,Optimal,280.63,916,17,14,3,Normal
2026-08-25T11:00:00Z,Cloud-01,Cloud,Operations,Management,Department,Management,145.0,143.1,32.17,51.63,0.3,33.08,255,95.08,3,Normal,Restricted,Privileged,Low,Connected,Optimal,157.58,50,33,10,9,Normal
2026-08-25T11:12:00Z,Server-02,Server,Operations,Database-01,Database,Finance,585.49,387.85,89.94,57.61,10.35,88.67,968,87.27,6,Low,Internal,Employee,High,Degraded,Rerouted,427.36,77,820,35,7,Packet Loss
2026-08-25T11:24:00Z,API-Gateway,API,IT,Server-01,Server,Development,346.91,196.35,60.69,18.62,0.54,55.91,590,33.74,3,Low,Confidential,Role-Based,Low,Connected,Optimal,188.31,1120,99,16,10,Normal
2026-08-25T11:36:00Z,IoT-Gateway,IoT,Operations,Server-02,Server,Operations,538.99,315.5,88.95,78.93,0.58,84.23,655,117.6,4,High,Confidential,Role-Based,Low,Connected,Optimal,340.18,252,159,42,4061,Normal
2026-08-25T11:48:00Z,Server-02,Server,Operations,Database-02,Database,Operations,427.85,111.63,69.89,55.06,0.13,62.04,549,80.84,8,Normal,Confidential,Role-Based,Low,Connected,Optimal,92.12,205,831,50,16,Normal
2026-08-25T12:00:00Z,Database-01,Database,Finance,AI-Engine,AI,Management,104.56,615.81,26.79,18.88,0.62,22.25,135,24.98,3,Normal,Internal,Employee,Low,Connected,Optimal,462.77,50,212,87,3,Normal
2026-08-25T12:12:00Z,Server-02,Server,Operations,Database-02,Database,Operations,599.23,423.88,97.08,63.59,0.21,94.21,1078,98.75,5,High,Internal,Employee,Low,Connected,Optimal,476.3,107,1368,70,11,Normal
2026-08-25T12:24:00Z,Server-04,Server,Operations,Database-02,Database,Operations,176.06,592.14,45.97,49.44,0.37,38.19,280,79.75,6,Low,Internal,Employee,Low,Connected,Optimal,545.12,48,321,22,6,Normal
2026-08-25T12:36:00Z,Finance,Department,Finance,Database-01,Database,Finance,96.1,492.59,33.43,41.87,0.6,34.14,164,72.35,4,Normal,Internal,Employee,Low,Connected,Optimal,399.23,45,159,6,5,Normal
2026-08-25T12:48:00Z,Server-02,Server,Operations,Database-02,Database,Operations,465.07,235.88,75.61,40.31,0.32,68.98,564,54.25,2,Normal,Internal,Employee,Low,Connected,Optimal,185.4,91,889,38,8,Normal
2026-08-25T13:00:00Z,Server-01,Server,Development,Database-02,Database,Operations,341.2,423.12,51.92,28.36,0.27,45.86,548,39.94,1,Normal,Internal,Employee,Low,Connected,Optimal,485.95,109,615,23,8,Normal
2026-08-25T13:12:00Z,API-Gateway,API,IT,Server-01,Server,Development,604.32,190.0,97.07,96.63,0.45,84.43,983,129.83,4,Normal,Restricted,Privileged,Low,Connected,Optimal,204.19,1624,84,29,34,Normal
2026-08-25T13:24:00Z,HR,Department,HR,Server-01,Server,Development,40.3,146.3,20.17,55.65,0.42,20.49,77,64.48,0,Normal,Internal,Employee,Low,Connected,Optimal,124.84,19,4,4,0,Normal
2026-08-25T13:36:00Z,Development,Department,Development,API-Gateway,API,IT,432.78,314.95,75.13,32.36,0.53,80.15,460,42.84,4,Normal,Internal,Employee,Low,Connected,Optimal,330.4,1272,119,21,20,Normal
2026-08-25T13:48:00Z,Server-01,Server,Development,Database-01,Database,Finance,1300.36,106.62,91.58,30.81,0.5,95.58,1272,37.19,5,Normal,Internal,Employee,Medium,Connected,Optimal,85.74,497,3258,89,71,Traffic Spike
2026-08-25T14:00:00Z,IoT-Gateway,IoT,Operations,Cloud-01,Cloud,Operations,403.95,503.94,71.16,59.64,0.28,68.43,637,106.52,6,Normal,Internal,Employee,Low,Connected,Optimal,522.61,132,49,10,2602,Normal
2026-08-25T14:12:00Z,Database-01,Database,Finance,AI-Engine,AI,Management,538.71,361.87,84.58,42.6,0.04,78.86,679,56.45,6,Low,Restricted,Privileged,Low,Connected,Optimal,389.44,177,1616,969,28,Normal
2026-08-25T14:24:00Z,API-Gateway,API,IT,Server-02,Server,Operations,126.18,416.51,33.86,43.36,0.6,29.36,218,69.14,1,Normal,Internal,Employee,Low,Connected,Optimal,417.16,551,16,12,2,Normal
2026-08-25T14:36:00Z,IoT-Gateway,IoT,Operations,Cloud-01,Cloud,Operations,396.47,454.75,66.54,29.21,0.22,71.34,539,44.11,6,Critical,Internal,Employee,Low,Connected,Optimal,429.36,105,38,22,2688,Normal
2026-08-25T14:48:00Z,Server-03,Server,IT,Cloud-01,Cloud,Operations,369.33,227.34,64.93,54.96,0.29,65.03,410,100.65,4,Normal,Internal,Employee,Low,Connected,Optimal,215.63,50,110,47,13,Normal
2026-08-25T15:00:00Z,HR,Department,HR,Server-01,Server,Development,163.13,475.27,42.79,37.37,0.18,44.38,328,49.35,2,Normal,Internal,Employee,Low,Connected,Optimal,529.85,49,44,19,3,Normal
2026-08-25T15:12:00Z,AI-Engine,AI,Management,Cloud-01,Cloud,Operations,283.01,565.48,53.65,50.46,0.19,48.16,442,93.32,2,Normal,Internal,Employee,Low,Connected,Optimal,536.28,89,46,259,4,Normal
2026-08-25T15:24:00Z,Server-04,Server,Operations,Database-02,Database,Operations,258.09,269.48,55.43,17.83,0.49,55.62,458,25.33,5,High,Confidential,Role-Based,Low,Connected,Optimal,307.58,76,303,19,12,Normal
2026-08-25T15:36:00Z,IoT-Gateway,IoT,Operations,Server-02,Server,Operations,550.27,270.14,86.57,61.19,0.47,80.22,857,76.99,0,Normal,Confidential,Role-Based,Low,Connected,Optimal,268.1,242,144,66,2696,Normal
2026-08-25T15:48:00Z,API-Gateway,API,IT,Server-03,Server,IT,352.75,546.56,68.72,18.52,0.05,67.63,647,34.22,7,High,Internal,Employee,Low,Connected,Optimal,406.8,1305,94,23,19,Normal
2026-08-25T16:00:00Z,IoT-Gateway,IoT,Operations,Server-02,Server,Operations,113.84,434.98,29.16,31.74,0.1,27.94,198,54.11,3,High,Internal,Employee,Low,Connected,Optimal,351.62,52,9,7,486,Normal
2026-08-25T16:12:00Z,API-Gateway,API,IT,Server-02,Server,Operations,93.73,438.91,37.65,44.46,0.11,35.2,151,69.41,4,Normal,Internal,Employee,Low,Connected,Optimal,356.63,406,9,5,3,Normal
2026-08-25T16:24:00Z,API-Gateway,API,IT,Server-01,Server,Development,409.46,0,77.8,42.12,100,77.11,507,1123.2,5,Low,Internal,Employee,High,Failed,Blocked,0,1019,102,15,6,Failed Connection
2026-08-25T16:36:00Z,API-Gateway,API,IT,Server-02,Server,Operations,447.79,421.7,76.86,34.15,0.07,75.57,456,58.13,3,Low,Internal,Employee,Low,Connected,Optimal,320.12,2028,58,28,7,Normal
2026-08-25T16:48:00Z,Database-02,Database,Operations,AI-Engine,AI,Management,292.08,377.05,54.65,27.45,0.12,57.8,549,50.15,3,High,Internal,Employee,Low,Connected,Optimal,276.71,117,453,402,15,Normal
2026-08-25T17:00:00Z,Server-01,Server,Development,Database-01,Database,Finance,417.53,367.59,62.54,32.57,0.18,53.3,552,54.54,9,Normal,Internal,Employee,Low,Connected,Optimal,362.94,103,1022,29,20,Normal
2026-08-25T17:12:00Z,IoT-Gateway,IoT,Operations,Cloud-01,Cloud,Operations,162.24,494.12,41.44,42.69,0.31,41.54,278,52.58,4,Critical,Internal,Employee,Low,Connected,Optimal,398.09,51,23,9,1256,Normal
2026-08-25T17:24:00Z,Server-04,Server,Operations,Database-02,Database,Operations,206.86,522.76,48.31,53.19,0.43,50.08,338,96.13,4,Normal,Confidential,Role-Based,Low,Connected,Optimal,417.04,57,325,11,16,Normal
2026-08-25T17:36:00Z,API-Gateway,API,IT,Security-Hub,Security,IT,193.9,583.81,34.74,27.59,0.63,37.05,356,33.5,4,Critical,Public,Open,Low,Connected,Optimal,496.29,924,47,7,12,Normal
2026-08-25T17:48:00Z,Server-02,Server,Operations,Database-02,Database,Operations,307.7,470.49,51.72,48.52,0.51,50.42,391,89.23,8,Critical,Internal,Employee,Low,Connected,Optimal,498.4,44,871,8,8,Normal
2026-08-25T18:00:00Z,AI-Engine,AI,Management,Cloud-01,Cloud,Operations,283.52,83.29,49.35,21.32,0.28,41.93,309,31.21,1,Normal,Internal,Employee,Low,Connected,Optimal,81.35,110,78,384,6,Normal
2026-08-25T18:12:00Z,Server-03,Server,IT,Cloud-01,Cloud,Operations,60.89,749.07,32.68,33.9,0.08,32.85,117,60.33,5,Normal,Internal,Employee,Low,Connected,Optimal,566.89,21,11,6,1,Normal
2026-08-25T18:24:00Z,Server-02,Server,Operations,Database-02,Database,Operations,178.98,319.14,39.57,49.31,0.08,39.18,340,75.74,5,High,Internal,Employee,Low,Connected,Optimal,342.22,46,458,9,4,Normal
2026-08-25T18:36:00Z,API-Gateway,API,IT,Server-02,Server,Operations,444.38,384.34,72.73,26.45,0.06,67.81,735,37.32,4,Normal,Public,Open,Low,Connected,Optimal,434.48,1548,96,28,31,Normal
2026-08-25T18:48:00Z,IoT-Gateway,IoT,Operations,Cloud-01,Cloud,Operations,163.09,694.77,30.81,28.08,0.21,26.1,259,35.33,0,Normal,Internal,Employee,Low,Connected,Optimal,522.26,34,17,10,946,Normal
2026-08-25T19:00:00Z,Database-02,Database,Operations,AI-Engine,AI,Management,176.67,606.16,91.63,178.61,0.43,91.29,201,55.77,55,High,Restricted,Privileged,Medium,Connected,Congested,463.01,62,205,259,3,Network Congestion
2026-08-25T19:12:00Z,Server-01,Server,Development,Database-01,Database,Finance,168.14,269.28,43.49,48.63,0.37,36.63,197,61.28,0,Normal,Confidential,Role-Based,Low,Connected,Optimal,247.34,46,276,18,1,Normal
2026-08-25T19:24:00Z,Server-01,Server,Development,Database-01,Database,Finance,145.97,431.21,36.56,44.02,0.04,33.74,248,50.86,0,Normal,Internal,Employee,Low,Connected,Optimal,328.47,29,256,1,8,Normal
2026-08-25T19:36:00Z,Management,Department,Management,AI-Engine,AI,Management,68.91,627.43,27.41,51.0,0.53,22.99,153,60.16,7,High,Internal,Employee,Low,Connected,Optimal,601.09,26,10,44,0,Normal
2026-08-25T19:48:00Z,API-Gateway,API,IT,Server-03,Server,IT,255.14,460.98,56.09,54.63,0.07,58.31,323,85.34,5,Normal,Internal,Employee,Low,Connected,Optimal,387.05,719,34,8,10,Normal
2026-08-25T20:00:00Z,HR,Department,HR,Server-01,Server,Development,67.22,777.33,24.49,46.55,0.53,25.27,112,58.3,3,High,Internal,Employee,Low,Connected,Optimal,606.1,27,11,7,4,Normal
2026-08-25T20:12:00Z,Server-01,Server,Development,Database-02,Database,Operations,236.73,506.4,50.31,42.23,0.56,49.45,283,50.58,7,Normal,Internal,Employee,Low,Connected,Optimal,417.07,28,500,11,8,Normal
2026-08-25T20:24:00Z,Development,Department,Development,API-Gateway,API,IT,354.93,96.07,68.84,53.1,0.4,65.52,505,81.67,7,Normal,Confidential,Role-Based,Low,Connected,Optimal,95.43,981,59,10,1,Normal
2026-08-25T20:36:00Z,QA,Department,QA,API-Gateway,API,IT,231.36,348.14,51.07,37.19,0.12,45.17,337,54.21,0,Normal,Internal,Employee,Low,Connected,Optimal,302.11,612,35,12,11,Normal
2026-08-25T20:48:00Z,AI-Engine,AI,Management,Cloud-01,Cloud,Operations,241.84,109.6,41.19,44.49,0.19,41.53,398,79.39,5,Normal,Internal,Employee,Low,Connected,Optimal,93.98,117,54,244,11,Normal
2026-08-25T21:00:00Z,IoT-Gateway,IoT,Operations,Cloud-01,Cloud,Operations,114.44,340.95,38.21,50.15,0.44,39.56,217,81.74,1,Normal,Internal,Employee,Low,Connected,Optimal,303.62,28,16,3,465,Normal
2026-08-25T21:12:00Z,IoT-Gateway,IoT,Operations,Cloud-01,Cloud,Operations,74.78,242.42,21.6,19.24,0.55,18.28,157,33.38,2,Normal,Confidential,Role-Based,Low,Connected,Optimal,183.99,18,6,8,512,Normal
2026-08-25T21:24:00Z,AI-Engine,AI,Management,Cloud-01,Cloud,Operations,48.44,304.78,23.3,44.41,0.16,21.8,94,74.34,1,Normal,Internal,Employee,Low,Connected,Optimal,255.79,20,8,76,1,Normal
2026-08-25T21:36:00Z,IoT-Gateway,IoT,Operations,Cloud-01,Cloud,Operations,301.99,396.73,31.01,32.04,0.35,33.22,251,54.81,4,Critical,Restricted,Denied,Critical,Degraded,Rerouted,296.02,132,79,14,2058,Suspicious Traffic
2026-08-25T21:48:00Z,API-Gateway,API,IT,Server-02,Server,Operations,172.61,134.43,38.92,55.75,0.15,36.48,247,65.15,4,Low,Internal,Employee,Low,Connected,Optimal,108.37,825,24,2,12,Normal
2026-08-25T22:00:00Z,AI-Engine,AI,Management,Cloud-01,Cloud,Operations,116.45,490.47,26.68,28.05,0.54,26.7,157,46.11,2,Low,Internal,Employee,Low,Connected,Optimal,527.62,37,26,138,1,Normal
2026-08-25T22:12:00Z,API-Gateway,API,IT,Server-02,Server,Operations,76.48,88.3,26.88,49.34,0.3,22.82,169,77.36,2,Low,Internal,Employee,Low,Connected,Optimal,71.42,170,12,6,1,Normal
2026-08-25T22:24:00Z,Server-01,Server,Development,Database-01,Database,Finance,118.48,119.95,41.99,18.84,0.35,39.97,250,28.98,1,Normal,Restricted,Privileged,Low,Connected,Optimal,97.65,12,317,6,6,Normal
2026-08-25T22:36:00Z,Server-03,Server,IT,Cloud-01,Cloud,Operations,106.82,576.22,29.01,17.86,0.36,29.93,150,30.28,4,Normal,Confidential,Role-Based,Low,Connected,Optimal,567.16,45,7,11,3,Normal
2026-08-25T22:48:00Z,API-Gateway,API,IT,Server-02,Server,Operations,35.53,158.58,15.09,55.2,0.34,16.25,87,73.27,1,Normal,Confidential,Role-Based,Low,Connected,Optimal,172.79,99,2,2,2,Normal
2026-08-25T23:00:00Z,Database-01,Database,Finance,AI-Engine,AI,Management,140.75,297.84,44.69,36.84,0.33,47.39,230,63.03,2,High,Public,Open,Low,Connected,Optimal,289.24,60,308,129,0,Normal
2026-08-25T23:12:00Z,Server-04,Server,Operations,Database-02,Database,Operations,50.04,533.7,23.77,44.97,0.23,19.75,122,62.81,3,Critical,Restricted,Privileged,Low,Connected,Optimal,391.61,17,91,5,2,Normal
2026-08-25T23:24:00Z,Cloud-01,Cloud,Operations,Management,Department,Management,21.11,556.2,26.64,17.46,0.05,27.24,63,24.76,2,Normal,Internal,Employee,Low,Connected,Optimal,559.3,10,3,2,0,Normal
2026-08-25T23:36:00Z,Server-02,Server,Operations,Database-01,Database,Finance,97.3,346.68,26.36,20.76,0.48,25.03,159,32.04,2,Normal,Restricted,Privileged,Low,Connected,Optimal,287.23,45,202,2,6,Normal
2026-08-25T23:48:00Z,Server-01,Server,Development,Database-02,Database,Operations,111.01,420.93,25.12,44.64,0.55,22.68,172,53.37,3,Normal,Confidential,Role-Based,Low,Connected,Optimal,455.92,42,327,10,7,Normal
2026-08-26T00:00:00Z,Server-02,Server,Operations,Database-01,Database,Finance,50.69,150.43,18.68,49.2,0.03,18.01,100,84.25,0,Low,Internal,Employee,Low,Connected,Optimal,172.97,19,109,5,3,Normal
2026-08-26T00:12:00Z,API-Gateway,API,IT,Server-02,Server,Operations,118.6,562.13,32.56,44.56,0.23,95.52,228,170.9,51,Normal,Restricted,Privileged,Medium,Degraded,Optimal,524.55,321,10,15,2,API Overload
2026-08-26T00:24:00Z,IoT-Gateway,IoT,Operations,Cloud-01,Cloud,Operations,78.44,280.16,20.99,24.24,0.62,18.71,152,38.31,4,Normal,Internal,Employee,Low,Connected,Optimal,217.69,27,21,4,597,Normal
2026-08-26T00:36:00Z,Development,Department,Development,API-Gateway,API,IT,175.77,98.03,48.51,48.38,0.18,42.44,286,76.57,5,Low,Confidential,Role-Based,Low,Connected,Optimal,92.69,654,22,7,11,Normal
2026-08-26T00:48:00Z,Server-01,Server,Development,Database-01,Database,Finance,88.88,436.52,23.68,33.46,0.31,21.52,129,58.65,0,Normal,Internal,Employee,Low,Connected,Optimal,454.99,27,116,3,0,Normal
2026-08-26T01:00:00Z,Server-01,Server,Development,Database-02,Database,Operations,32.98,138.5,31.04,52.29,0.28,33.22,94,89.92,9,Critical,Confidential,Role-Based,Low,Connected,Optimal,108.78,5,101,2,2,Normal
2026-08-26T01:12:00Z,Server-02,Server,Operations,Database-01,Database,Finance,45.41,234.54,23.77,26.11,0.38,19.79,90,40.95,3,Normal,Public,Open,Low,Connected,Optimal,175.53,6,73,2,1,Normal
2026-08-26T01:24:00Z,Development,Department,Development,API-Gateway,API,IT,38.86,308.29,21.26,28.12,0.26,19.93,92,48.59,0,Normal,Internal,Employee,Low,Connected,Optimal,233.66,81,5,5,1,Normal
2026-08-26T01:36:00Z,API-Gateway,API,IT,Security-Hub,Security,IT,21.21,552.41,19.81,17.69,0.03,19.92,72,26.78,4,Normal,Restricted,Privileged,Low,Connected,Optimal,465.87,63,4,2,1,Normal
2026-08-26T01:48:00Z,Server-02,Server,Operations,Database-01,Database,Finance,116.12,276.81,34.29,35.95,0.02,31.07,153,51.82,7,Normal,Confidential,Role-Based,Low,Connected,Optimal,302.4,40,266,5,6,Normal
2026-08-26T02:00:00Z,Cloud-01,Cloud,Operations,Management,Department,Management,49.66,274.53,16.98,36.18,0.35,17.11,117,51.23,2,Normal,Confidential,Role-Based,Low,Connected,Optimal,215.74,13,7,3,0,Normal
2026-08-26T02:12:00Z,Server-02,Server,Operations,Database-01,Database,Finance,133.26,268.83,41.52,46.55,0.46,39.65,225,86.06,1,Normal,Internal,Employee,Low,Connected,Optimal,303.91,37,288,10,7,Normal
2026-08-26T02:24:00Z,IoT-Gateway,IoT,Operations,Server-02,Server,Operations,136.88,438.46,31.45,36.34,0.62,28.07,197,65.73,6,High,Confidential,Role-Based,Low,Connected,Optimal,403.4,39,26,17,904,Normal
2026-08-26T02:36:00Z,API-Gateway,API,IT,Server-02,Server,Operations,119.81,317.8,40.73,32.57,0.23,41.59,161,38.42,3,Critical,Public,Open,Low,Connected,Optimal,354.6,451,28,4,7,Normal
2026-08-26T02:48:00Z,API-Gateway,API,IT,Database-01,Database,Finance,117.99,192.0,26.35,227.79,0.16,91.04,240,393.25,80,Normal,Internal,Employee,High,Degraded,Optimal,175.65,282,357,6,6,Database Overload
2026-08-26T03:00:00Z,IoT-Gateway,IoT,Operations,Cloud-01,Cloud,Operations,30.21,470.53,23.32,46.37,0.61,24.66,69,81.96,3,Normal,Restricted,Privileged,Low,Connected,Optimal,540.5,7,5,3,235,Normal
2026-08-26T03:12:00Z,IoT-Gateway,IoT,Operations,Cloud-01,Cloud,Operations,118.64,99.83,34.69,20.51,0.64,31.01,250,31.38,0,High,Internal,Employee,Low,Connected,Optimal,78.54,17,10,8,508,Normal
2026-08-26T03:24:00Z,API-Gateway,API,IT,Server-01,Server,Development,162.92,386.96,40.09,47.81,0.12,41.8,316,82.65,4,Normal,Internal,Employee,Low,Connected,Optimal,387.41,383,13,8,3,Normal
2026-08-26T03:36:00Z,API-Gateway,API,IT,Server-02,Server,Operations,66.04,415.34,35.23,28.68,0.47,28.99,136,46.89,3,Normal,Internal,Employee,Low,Connected,Optimal,384.66,296,14,3,0,Normal
2026-08-26T03:48:00Z,IoT-Gateway,IoT,Operations,Cloud-01,Cloud,Operations,53.3,497.1,20.44,21.61,0.11,20.74,115,31.14,2,Normal,Internal,Employee,Low,Connected,Optimal,468.21,19,5,2,361,Normal
2026-08-26T04:00:00Z,IoT-Gateway,IoT,Operations,Server-02,Server,Operations,41.59,273.13,27.74,19.28,0.37,23.19,95,28.99,0,Normal,Internal,Employee,Low,Connected,Optimal,205.47,7,8,0,230,Normal
2026-08-26T04:12:00Z,AI-Engine,AI,Management,Cloud-01,Cloud,Operations,88.86,344.46,29.06,18.42,0.31,29.93,175,26.3,2,High,Confidential,Role-Based,Low,Connected,Optimal,330.76,10,12,51,7,Normal
2026-08-26T04:24:00Z,IoT-Gateway,IoT,Operations,Cloud-01,Cloud,Operations,27.91,706.54,13.98,33.17,0.5,14.24,87,53.15,0,Normal,Confidential,Role-Based,Low,Connected,Optimal,782.88,6,6,2,159,Normal
2026-08-26T04:36:00Z,Server-03,Server,IT,Cloud-01,Cloud,Operations,59.22,210.87,26.89,38.21,0.48,23.61,91,44.55,5,Normal,Confidential,Role-Based,Low,Connected,Optimal,199.28,18,15,2,1,Normal
2026-08-26T04:48:00Z,API-Gateway,API,IT,Server-02,Server,Operations,177.72,402.03,33.7,50.0,0.28,34.35,339,58.05,3,Low,Internal,Employee,Low,Connected,Optimal,408.66,345,41,11,3,Normal
2026-08-26T05:00:00Z,API-Gateway,API,IT,Server-01,Server,Development,185.53,82.61,41.7,28.15,0.53,42.12,258,44.15,4,High,Internal,Employee,Low,Connected,Optimal,69.04,413,39,7,4,Normal
2026-08-26T05:12:00Z,Development,Department,Development,API-Gateway,API,IT,190.05,447.37,49.58,42.29,0.28,47.05,375,76.51,2,Normal,Internal,Employee,Low,Connected,Optimal,343.2,556,45,13,12,Normal
2026-08-26T05:24:00Z,API-Gateway,API,IT,Server-02,Server,Operations,141.15,439.44,43.68,300.67,0.63,42.15,182,543.69,0,Normal,Internal,Employee,Medium,Connected,Congested,413.53,605,8,8,6,High Latency
2026-08-26T05:36:00Z,Development,Department,Development,API-Gateway,API,IT,42.5,414.53,25.76,44.2,0.15,22.52,110,60.21,3,Normal,Confidential,Role-Based,Low,Connected,Optimal,429.5,172,11,4,2,Normal
2026-08-26T05:48:00Z,Server-01,Server,Development,Database-01,Database,Finance,58.8,243.85,22.27,35.58,0.43,20.04,109,62.91,0,Normal,Confidential,Role-Based,Low,Connected,Optimal,249.97,23,102,2,1,Normal
2026-08-26T06:00:00Z,Development,Department,Development,API-Gateway,API,IT,175.82,386.8,31.73,39.24,0.38,31.96,242,50.51,3,Normal,Internal,Employee,Low,Connected,Optimal,434.98,494,42,12,10,Normal
